Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Ut165,USB2FlashStorage 1GB,608,4.26,21,http://usb.userbenchmark.com/SpeedTest/5612/Ut165-USB2FlashStorage
USB,,Lexar,JD FireFly 4GB,609,4.22,29,http://usb.userbenchmark.com/SpeedTest/10873/Lexar-JD-FireFly
USB,,Verbatim,STORE N GO 4GB,610,4.11,552,http://usb.userbenchmark.com/SpeedTest/1268/Verbatim-STORE-N-GO
USB,,SanDisk,Cruzer Mini 1GB,611,4.11,50,http://usb.userbenchmark.com/SpeedTest/4977/SanDisk-Cruzer-Mini
USB,,Kingston,DataTraveler 112 16GB,612,4.06,55,http://usb.userbenchmark.com/SpeedTest/8377/Kingston-DataTraveler-112
USB,,Ut163,USB2FlashStorage 1GB,613,3.97,55,http://usb.userbenchmark.com/SpeedTest/12768/Ut163-USB2FlashStorage
USB,,Kingston,DataTravelerMini 1GB,614,3.89,25,http://usb.userbenchmark.com/SpeedTest/4656/Kingston-DataTravelerMini
USB,,HUAWEI,SD Storage 8GB,615,3.82,31,http://usb.userbenchmark.com/SpeedTest/4906/HUAWEI-SD-Storage
USB,,Kindle,Internal Storage 1GB,616,3.51,83,http://usb.userbenchmark.com/SpeedTest/5145/Kindle-Internal-Storage
USB,,,AM10 0GB,617,3.41,3,http://usb.userbenchmark.com/SpeedTest/12731/AM10
USB,,Best,Buy Geek Squad U3 1GB,618,3.31,7,http://usb.userbenchmark.com/SpeedTest/5282/Best-Buy-Geek-Squad-U3
USB,,USB2.0,FlashDisk 4GB,619,3.31,9,http://usb.userbenchmark.com/SpeedTest/12908/USB20-FlashDisk
USB,,USB_DISK,USB_DISK 1GB,620,3.11,3,http://usb.userbenchmark.com/SpeedTest/11488/USB-DISK-USB-DISK
USB,,ACTIONS,HS USB FlashDisk 4GB,621,2.69,39,http://usb.userbenchmark.com/SpeedTest/9386/ACTIONS-HS-USB-FlashDisk
USB,,SB,X-Fi Go! 1GB,622,0.41,11,http://usb.userbenchmark.com/SpeedTest/2348/SB-X-Fi-Go-
