Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD3000HLFS,WD,VelociRaptor 300GB,210,58,2888,http://hdd.userbenchmark.com/SpeedTest/1307/WDC-WD3000HLFS-01G6U1
HDD,,Seagate,ST2000DL 004 HD204UI 2TB,211,58,62,http://hdd.userbenchmark.com/SpeedTest/7858/ST2000DL-004-HD204UI
HDD,,Seagate,ST3500410SV 500GB,212,57.9,280,http://hdd.userbenchmark.com/SpeedTest/1363/ST3500410SV
HDD,,WD,WD800HLFS-75G6U0 80GB,213,57.7,216,http://hdd.userbenchmark.com/SpeedTest/5888/WDC-WD800HLFS-75G6U0
HDD,WD7500BPKX,WD,Black 2.5" 750GB (2013),214,57.6,5184,http://hdd.userbenchmark.com/SpeedTest/1740/WDC-WD7500BPKX-80HPJ
HDD,,Samsung,MMCRE28G8MXP-0VBL1 128GB,215,57.6,13,http://hdd.userbenchmark.com/SpeedTest/5433/SAMSUNG-MMCRE28G8MXP-0VBL1
HDD,,Seagate,ST3500410AS 500GB,216,57.5,1053,http://hdd.userbenchmark.com/SpeedTest/1333/ST3500410AS
HDD,WD5000AAKX,WD,Blue 500GB (2010),217,57.5,65203,http://hdd.userbenchmark.com/SpeedTest/398/WDC-WD5000AAKX-001CA0
HDD,,WD,WD3000GLFS-01F8U0 300GB,218,57.4,1275,http://hdd.userbenchmark.com/SpeedTest/1583/WDC-WD3000GLFS-01F8U0
HDD,,Hitachi,HDS721050CLA 500GB,219,57.4,600,http://hdd.userbenchmark.com/SpeedTest/1561/Hitachi-HDS721050CLA
HDD,,Hitachi,HDS722020ALA330 2TB,220,57.3,3524,http://hdd.userbenchmark.com/SpeedTest/1289/Hitachi-HDS722020ALA330
HDD,,Hitachi,HTS725050A7E63 500GB,221,57.2,9,http://hdd.userbenchmark.com/SpeedTest/12194/HTS725050A7E63
HDD,WD7500BPKT,WD,Black 2.5" 750GB (2011),222,57.2,5788,http://hdd.userbenchmark.com/SpeedTest/310/WDC-WD7500BPKT-60PK4T0
HDD,,WD,WD1600HLFS-60G6U2 160GB,223,57.2,673,http://hdd.userbenchmark.com/SpeedTest/5606/WDC-WD1600HLFS-60G6U2
HDD,,WD,WD1500HLFS-01G6U1 150GB,224,57.1,1958,http://hdd.userbenchmark.com/SpeedTest/2890/WDC-WD1500HLFS-01G6U1
HDD,ST2000VX002,Seagate,Surveillance 2TB,225,57,91,http://hdd.userbenchmark.com/SpeedTest/11181/ST2000VX002-1AH166
HDD,,,KingFast 128GB,226,56.9,4,http://hdd.userbenchmark.com/SpeedTest/9927/KingFast
HDD,,Hitachi,HDS5C3020ALA632 2TB,227,56.9,2226,http://hdd.userbenchmark.com/SpeedTest/693/Hitachi-HDS5C3020ALA632
HDD,ST3500413AS,Seagate,Barracuda 7200.12 500GB,228,56.8,14788,http://hdd.userbenchmark.com/SpeedTest/1134/ST3500413AS
HDD,ST3500418AS,Seagate,Barracuda 7200.12 500GB,229,56.8,34999,http://hdd.userbenchmark.com/SpeedTest/441/ST3500418AS
HDD,,WD,WD30EZRS-00J99B0 3TB,230,56.7,512,http://hdd.userbenchmark.com/SpeedTest/3380/WDC-WD30EZRS-00J99B0
HDD,ST1000LM014,Seagate,Laptop SSHD 2.5" (32GB NAND) 1TB,231,56.7,135,http://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--32GB-NAND-1TB/Rating/3600
HDD,,Seagate,ST3250312AS 250GB,232,56.4,2433,http://hdd.userbenchmark.com/SpeedTest/2897/ST3250312AS
HDD,,Seagate,ST3500411SV 500GB,233,56.3,166,http://hdd.userbenchmark.com/SpeedTest/5943/ST3500411SV
HDD,,Hitachi,HDS72202 2TB,234,56.2,75,http://hdd.userbenchmark.com/SpeedTest/9104/Hitachi-HDS72202
HDD,,Seagate,STM3500418AS 500GB,235,56.1,1464,http://hdd.userbenchmark.com/SpeedTest/2669/STM3500418AS
HDD,,WD,WD7502ABYS-02A6B0 750GB,236,56,229,http://hdd.userbenchmark.com/SpeedTest/9643/WDC-WD7502ABYS-02A6B0
HDD,,Toshiba,MK1002TS 1TB,237,55.9,7,http://hdd.userbenchmark.com/SpeedTest/4326/TOSHIBA-MK1002TS
HDD,,WD,WD2502ABYS-18B7A0 250GB,238,55.8,233,http://hdd.userbenchmark.com/SpeedTest/4931/WDC-WD2502ABYS-18B7A0
HDD,ST1000DM000,Seagate,Desktop HDD 1TB (2013),239,55.8,326,http://hdd.userbenchmark.com/SpeedTest/3274/ST1000DM000-9TS15E
HDD,ST2000DL001,Seagate,Barracuda Green 2TB,240,55.7,1314,http://hdd.userbenchmark.com/SpeedTest/447/ST2000DL001-9VT156
HDD,ST1500DL003,Seagate,Barracuda Green 1.5TB,241,55.7,3402,http://hdd.userbenchmark.com/SpeedTest/2196/ST1500DL003-9VT16L
HDD,,Samsung,HE103UJ 1TB,242,55.6,207,http://hdd.userbenchmark.com/SpeedTest/5305/SAMSUNG-HE103UJ
HDD,,WD,WD5002ABYS-02B1B0 500GB,243,55.4,1195,http://hdd.userbenchmark.com/SpeedTest/4481/WDC-WD5002ABYS-02B1B0
HDD,,Seagate,ST310005 28AS 1TB,244,55.2,2871,http://hdd.userbenchmark.com/SpeedTest/1219/ST310005-28AS
HDD,,WD,WD20EURS-63S48Y0 2TB,245,55.2,1367,http://hdd.userbenchmark.com/SpeedTest/2441/WDC-WD20EURS-63S48Y0
HDD,,,GB0500EAFYL 500GB,246,55.1,66,http://hdd.userbenchmark.com/SpeedTest/5763/GB0500EAFYL
HDD,HTS727575A9E364,HGST,Travelstar 7K750 2.5" 750GB,247,55.1,4050,http://hdd.userbenchmark.com/SpeedTest/104/Hitachi-HTS727575A9E364
HDD,,Seagate,ST31000524AS 1TB,248,55,103,http://hdd.userbenchmark.com/SpeedTest/12491/Seagate-ST31000524AS
HDD,,,GB0250EAFYK 250GB,249,55,93,http://hdd.userbenchmark.com/SpeedTest/5794/GB0250EAFYK
HDD,,Seagate,ST31000525SV 1TB,250,54.9,399,http://hdd.userbenchmark.com/SpeedTest/9992/ST31000525SV
HDD,,WD,WD1002FBYS-02A6B0 1TB,251,54.8,2895,http://hdd.userbenchmark.com/SpeedTest/22/WDC-WD1002FBYS-02A6B0
HDD,ST31000524AS,Seagate,Barracuda 7200.12 1TB,252,54.8,67139,http://hdd.userbenchmark.com/Seagate-Barracuda-720012-1TB/Rating/2022
HDD,,WD,WD10EUCX-63YZ1Y0 1TB,253,54.8,153,http://hdd.userbenchmark.com/SpeedTest/2516/WDC-WD10EUCX-63YZ1Y0
HDD,ST3250318AS,Seagate,Barracuda 7200.12 250GB,254,54.7,8120,http://hdd.userbenchmark.com/SpeedTest/169/ST3250318AS
HDD,,WD,WD1001FALS-00U9B0 1TB,255,54.4,691,http://hdd.userbenchmark.com/SpeedTest/2730/WDC-WD1001FALS-00U9B0
HDD,ST1000LM014,Seagate,Laptop SSHD 2.5" 1TB,256,54.4,15821,http://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--1TB/Rating/1804
HDD,,WD,WD25EZRS-00J99B0 2.5TB,257,54.2,200,http://hdd.userbenchmark.com/SpeedTest/9160/WDC-WD25EZRS-00J99B0
HDD,,,GB1000EAMYC 1TB,258,54.1,184,http://hdd.userbenchmark.com/SpeedTest/10569/GB1000EAMYC
HDD,,Toshiba,MQ01ACF032 320GB,259,53.9,718,http://hdd.userbenchmark.com/SpeedTest/4030/TOSHIBA-MQ01ACF032
HDD,,Seagate,ST31500341AS 1.5TB,260,53.9,47,http://hdd.userbenchmark.com/SpeedTest/6611/Seagate-ST31500341AS
HDD,WD25EZRX,WD,Green 2.5TB (2011),261,53.7,263,http://hdd.userbenchmark.com/SpeedTest/3574/WDC-WD25EZRX-00MMMB0
HDD,,Apple,HDD WDC WD10EALX-408EA0 1TB,262,53.5,37,http://hdd.userbenchmark.com/SpeedTest/6944/APPLE-HDD-WDC-WD10EALX-408EA0
HDD,WD10EARX,WD,Green 1TB (2011),263,53.5,7327,http://hdd.userbenchmark.com/SpeedTest/2607/WDC-WD10EARX-00N0YB0
HDD,ST500LX005,Seagate,SSHD 500GB,264,53.3,49,http://hdd.userbenchmark.com/SpeedTest/5338/ST500LX005-1CW162
HDD,WD6401AALS,WD,Black 640GB (2008),265,53.3,5074,http://hdd.userbenchmark.com/SpeedTest/136/WDC-WD6401AALS-00L3B2
HDD,,Seagate,ST1000LM014-SSHD-8GB 1TB,266,53.2,3927,http://hdd.userbenchmark.com/SpeedTest/6737/ST1000LM014-SSHD-8GB
HDD,ST500LM000,Seagate,Laptop Thin SSHD 2.5" 500GB,267,53.2,7545,http://hdd.userbenchmark.com/Seagate-Laptop-Thin-SSHD-25--500GB/Rating/1803
HDD,WD10JPVX,WD,Blue 2.5" 1TB (2004),268,53.1,34166,http://hdd.userbenchmark.com/SpeedTest/3140/WDC-WD10JPVX-22JC3T0
HDD,WD7501AALS,WD,Black 750GB (2008),269,53.1,2312,http://hdd.userbenchmark.com/SpeedTest/1987/WDC-WD7501AALS-00J7B0
HDD,,Seagate,STM3250318AS 250GB,270,53,636,http://hdd.userbenchmark.com/SpeedTest/5134/STM3250318AS
HDD,,Seagate,STM31000528AS 1TB,271,53,246,http://hdd.userbenchmark.com/SpeedTest/4190/STM31000528AS
