Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,VTX4-25SAT3-256G,OCZ,Vertex 4 256GB,103,87.6,2993,http://ssd.userbenchmark.com/OCZ-Vertex-4-256GB/Rating/1315
SSD,PX-512M6V,Plextor,M6V 512GB,104,87.6,13,http://ssd.userbenchmark.com/SpeedTest/31388/PLEXTOR-PX-512M6V
SSD,SDSSDXPS-240G,SanDisk,Extreme Pro 240GB,105,87.5,2575,http://ssd.userbenchmark.com/SanDisk-Extreme-Pro-240GB/Rating/2356
SSD,ZTSSD-A5P-480G-PE,Zotac,Premium Edition 480GB,106,87.2,115,http://ssd.userbenchmark.com/Zotac-Premium-Edition-480GB/Rating/3599
SSD,VX500-25SAT3-512G,Toshiba,OCZ VX500 512GB,107,87.1,21,http://ssd.userbenchmark.com/SpeedTest/190983/TOSHIBA-VX500
SSD,CT512M550SSD3,Crucial,M550 mSATA 512GB,108,87.1,149,http://ssd.userbenchmark.com/SpeedTest/8510/Crucial-CT512M550SSD3
SSD,VTX460-25SAT3-240G,OCZ,Vertex 460 240GB,109,87,602,http://ssd.userbenchmark.com/OCZ-Vertex-460-240GB/Rating/2043
SSD,RADEON-R7SSD-240G,OCZ,AMD Radeon R7 240GB,110,86.9,715,http://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-240GB/Rating/2492
SSD,SSDSC2KW240H6,Intel,540s Series 240GB,111,86.8,1409,http://ssd.userbenchmark.com/SpeedTest/125849/INTEL-SSDSC2KW240H6
SSD,VTX460A-25SAT3-240G,OCZ,Vertex 460A 240GB,112,86.7,384,http://ssd.userbenchmark.com/OCZ-Vertex-460A-240GB/Rating/3147
SSD,VTX460-25SAT3-480G,OCZ,Vertex 460 480GB,113,86.6,111,http://ssd.userbenchmark.com/SpeedTest/11920/OCZ-VERTEX460
SSD,SSD7CS2211-960-RB,PNY,CS2211 960GB,114,86.5,67,http://ssd.userbenchmark.com/PNY-CS2211-960GB/Rating/3631
SSD,SSD7CS2211-960-PB,PNY,CS2211 960GB,114,86.5,67,http://ssd.userbenchmark.com/PNY-CS2211-960GB/Rating/3631
SSD,PX-256M6V,Plextor,M6V 256GB,115,86.3,111,http://ssd.userbenchmark.com/Plextor-M6V-256GB/Rating/3499
SSD,VTR150-25SAT3-120G,OCZ,Vector 150 120GB,116,86.2,652,http://ssd.userbenchmark.com/OCZ-Vector-150-120GB/Rating/2242
SSD,ASP610SS3-512GM-C,Adata,Premier SP610 512GB,117,86.1,47,http://ssd.userbenchmark.com/SpeedTest/15096/ADATA-SP610
SSD,90MB0G60-M0EAY0,Asus,RAIDR Express PCIe,118,86.1,561,http://ssd.userbenchmark.com/SpeedTest/5337/ROG-RAIDR-Express-PCIe-SSD
SSD,VTR180-25SAT3-240G,OCZ,Vector 180 240GB,119,85.8,393,http://ssd.userbenchmark.com/OCZ-Vector-180-240GB/Rating/3493
SSD,VTX450-25SAT3-256G,OCZ,Vertex 450 256GB,120,85.7,135,http://ssd.userbenchmark.com/OCZ-Vertex-450-256GB/Rating/1605
SSD,CT500MX200SSD4,Crucial,MX200 SATA M.2 500GB,121,85.5,389,http://ssd.userbenchmark.com/SpeedTest/23836/Crucial-CT500MX200SSD4
SSD,CT250BX100SSD1,Crucial,BX100 250GB,122,85.5,8250,http://ssd.userbenchmark.com/Crucial-BX100-250GB/Rating/3145
SSD,CT128M550SSD1,Crucial,M550 128GB,123,85.4,739,http://ssd.userbenchmark.com/Crucial-M550-128GB/Rating/3485
SSD,TS512GSSD370,Transcend,SSD370 512GB,124,85.4,391,http://ssd.userbenchmark.com/Transcend-SSD370-512GB/Rating/3472
SSD,PX-256M5P,Plextor,M5 Pro 256GB,125,84.9,600,http://ssd.userbenchmark.com/Plextor-M5-Pro-256GB/Rating/1410
SSD,PX-512M5P,Plextor,M5 Pro 512GB,126,84.8,136,http://ssd.userbenchmark.com/SpeedTest/1262/PLEXTOR-PX-512M5Pro
SSD,ASX930SS3-120GM-C,Adata,XPG SX930 120GB,127,84.6,314,http://ssd.userbenchmark.com/Adata-XPG-SX930-120GB/Rating/3635
SSD,CSSD-N960GBXT,Corsair,Neutron XT 960GB,128,84.6,37,http://ssd.userbenchmark.com/SpeedTest/23267/Corsair-Neutron-XT-SSD
SSD,TS256GSSD370S,Transcend,SSD370S 256GB,129,84.5,2368,http://ssd.userbenchmark.com/SpeedTest/26718/TS256GSSD370S
SSD,HDTS425XZSTA,Toshiba,Q300 Pro 256GB,130,84.5,162,http://ssd.userbenchmark.com/SpeedTest/35467/TOSHIBA-Q300-Pro
SSD,SSD7CS2211-480-RB,PNY,CS2211 480GB,131,84.4,463,http://ssd.userbenchmark.com/PNY-CS2211-480GB/Rating/3630
SSD,SSD7CS2211-480-PB,PNY,CS2211 480GB,131,84.4,463,http://ssd.userbenchmark.com/PNY-CS2211-480GB/Rating/3630
SSD,,PNY,SSD2SC240G5SA754D117-511 240GB,132,84.2,137,http://ssd.userbenchmark.com/SpeedTest/11704/SSD2SC240G5SA754D117-511
SSD,TS1TSSD370,Transcend,SSD370 1TB,133,84.1,64,http://ssd.userbenchmark.com/Transcend-SSD370-1TB/Rating/3579
SSD,SHSS37A/960G,HyperX,Savage 960GB,134,84.1,222,http://ssd.userbenchmark.com/HyperX-Savage-960GB/Rating/3580
SSD,MZ-7PD512BW,Samsung,840 Pro 512GB,135,84.1,2987,http://ssd.userbenchmark.com/SpeedTest/2708/Samsung-SSD-840-PRO-Series
SSD,SHSS37A/240G,HyperX,Savage 240GB,136,84,9187,http://ssd.userbenchmark.com/HyperX-Savage-240GB/Rating/3494
SSD,CT250MX200SSD4,Crucial,MX200 SATA M.2 250GB,137,83.9,512,http://ssd.userbenchmark.com/SpeedTest/23955/Crucial-CT250MX200SSD4
SSD,TS512GMTS800,Transcend,MTS800 M.2 512GB,138,83.7,127,http://ssd.userbenchmark.com/SpeedTest/22251/TS512GMTS800
SSD,THNSNJ256GCSU,Toshiba,HG6 256GB,139,83.6,1184,http://ssd.userbenchmark.com/SpeedTest/11911/TOSHIBA-THNSNJ256GCSU
SSD,PX-256M6S,Plextor,M6S 256GB,140,83.6,418,http://ssd.userbenchmark.com/Plextor-M6S-256GB/Rating/3505
SSD,SSDSC2BB800G4,Intel,S3500 Series 800GB,141,83.5,23,http://ssd.userbenchmark.com/SpeedTest/30895/INTEL-SSDSC2BB800G4
SSD,MKNSSDRE1TB,Mushkin,Reactor 1TB,142,83.4,1558,http://ssd.userbenchmark.com/Mushkin-Reactor-1TB/Rating/3583
SSD,VTR180-25SAT3-120G,Toshiba,OCZ VT180 120GB,143,83.4,11,http://ssd.userbenchmark.com/SpeedTest/172941/TOSHIBA-VT180
SSD,HDTS312EZSTA,Toshiba,Q Series Pro 128GB,144,83.4,735,http://ssd.userbenchmark.com/Toshiba-Q-Series-Pro-128GB/Rating/1943
SSD,HDTS312XZSTA,Toshiba,Q Series Pro 128GB,144,83.4,735,http://ssd.userbenchmark.com/Toshiba-Q-Series-Pro-128GB/Rating/1943
SSD,MZ-7PD256BW,Samsung,840 Pro 256GB,145,83.3,15233,http://ssd.userbenchmark.com/Samsung-840-Pro-256GB/Rating/1408
SSD,CSSD-P256GBP-BK,Corsair,Performance Pro 256GB,146,83.3,103,http://ssd.userbenchmark.com/Corsair-Performance-Pro-256GB/Rating/45
SSD,CT960M500SSD1,Crucial,M500 960GB,147,83.2,843,http://ssd.userbenchmark.com/SpeedTest/2379/Crucial-CT960M500SSD1
SSD,VTR180-25SAT3-120G,OCZ,Vector 180 120GB,148,83.2,106,http://ssd.userbenchmark.com/OCZ-Vector-180-120GB/Rating/3495
SSD,CSSD-N240GBXT,Corsair,Neutron XT 240GB,149,83.2,561,http://ssd.userbenchmark.com/Corsair-Neutron-XT-240GB/Rating/3277
SSD,CT128M550SSD4,Crucial,M550 SATA M.2 128GB,150,83,66,http://ssd.userbenchmark.com/SpeedTest/15846/Crucial-CT128M550SSD4
SSD,HDTS251EZSTA,Toshiba,HG5d Q Series 512GB,151,83,139,http://ssd.userbenchmark.com/SpeedTest/5182/TOSHIBA-THNSNH512GBST
SSD,HDTS251XZSTA,Toshiba,HG5d Q Series 512GB,151,83,139,http://ssd.userbenchmark.com/SpeedTest/5182/TOSHIBA-THNSNH512GBST
SSD,THNSNH512GBST,Toshiba,HG5d Q Series 512GB,151,83,139,http://ssd.userbenchmark.com/SpeedTest/5182/TOSHIBA-THNSNH512GBST
SSD,VX500-25SAT3-128G,Toshiba,OCZ VX500 128GB,152,83,16,http://ssd.userbenchmark.com/SpeedTest/194663/TOSHIBA-VX500
SSD,ZTSSD-A5P-240G-PE,Zotac,Premium Edition 240GB,153,82.8,363,http://ssd.userbenchmark.com/Zotac-Premium-Edition-240GB/Rating/3598
SSD,CT500MX200SSD3,Crucial,MX200 mSATA 500GB,154,82.8,209,http://ssd.userbenchmark.com/SpeedTest/24060/Crucial-CT500MX200SSD3
SSD,CT250MX200SSD1,Crucial,MX200 250GB,155,82.8,4833,http://ssd.userbenchmark.com/Crucial-MX200-250GB/Rating/3196
SSD,RADEON-R7SSD-120G,OCZ,AMD Radeon R7 120GB,156,82.7,500,http://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-120GB/Rating/3492
SSD,SSDSC2BB480G4,Intel,S3500 Series 480GB,157,82.7,129,http://ssd.userbenchmark.com/SpeedTest/16864/INTEL-SSDSC2BB480G4
SSD,ARC100-25SAT3-480G,OCZ,ARC 100 480GB,158,82.7,479,http://ssd.userbenchmark.com/OCZ-ARC-100-480GB/Rating/3471
SSD,VX500-25SAT3-256G,Toshiba,OCZ VX500 256GB,159,82.7,23,http://ssd.userbenchmark.com/SpeedTest/193061/TOSHIBA-VX500
SSD,HDTS225EZSTA,Toshiba,HG5d Q Series 256GB,160,82.6,664,http://ssd.userbenchmark.com/Toshiba-HG5d-Q-Series-256GB/Rating/1624
SSD,HDTS225XZSTA,Toshiba,HG5d Q Series 256GB,160,82.6,664,http://ssd.userbenchmark.com/Toshiba-HG5d-Q-Series-256GB/Rating/1624
SSD,ST480HM000,Seagate,600 480GB,161,82.6,351,http://ssd.userbenchmark.com/SpeedTest/2966/ST480HM000-1G5162
SSD,HDTS325XZSTA,Toshiba,Q Series Pro 256GB,162,82.6,490,http://ssd.userbenchmark.com/SpeedTest/7204/TOSHIBA-THNSNJ25
